point_type,source,line,object,hit_count,reviewed_exclusion
branch,chiplet_extension/rtl/channel_model/channel_model.sv,96,if,0,none
branch,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,41,else,0,none
branch,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,41,else,0,none
branch,chiplet_extension/rtl/d2d_adapter/ucie_rx.sv,41,else,0,none
branch,chiplet_extension/rtl/d2d_adapter/ucie_rx.sv,41,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,122,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,129,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,135,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,143,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,148,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,153,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,163,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,256,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,267,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,274,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,281,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,823,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,957,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,966,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1052,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1054,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1054,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,113,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,121,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,127,if,0,none
