metric,category,hit_runs,total_runs,covered,total_bins,sum_value,max_value,tests_hit
__overall__,summary,18,13,18,23,78.3,18,
link_reset,link_fsm,13,13,1,1,84412,27449,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
link_train,link_fsm,13,13,1,1,308,32,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
link_active,link_fsm,13,13,1,1,87182,27427,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
link_retrain,link_fsm,1,13,1,1,257,257,prbs_lane_fault_recover
link_degraded,link_fsm,1,13,1,1,63,63,prbs_lane_fault_recover
link_recoveries,link_fsm,1,13,1,1,1,1,prbs_lane_fault_recover
credit_zero,credits,9,13,1,1,84395,27448,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke
credit_low,credits,0,13,0,1,0,0,
credit_mid,credits,2,13,1,1,6254,3767,prbs_lane_fault_recover;prbs_retry_single
credit_high,credits,13,13,1,1,81573,27448,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
backpressure,backpressure,10,13,1,1,24771,4844,prbs_backpressure_wave;prbs_credit_starve;prbs_rand_stress;prbs_reset_midflight;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
crc_error,retry_fault,1,13,1,1,4,4,prbs_retry_single
resend_request,retry_fault,2,13,1,1,6,4,prbs_lane_fault_recover;prbs_retry_single
lane_fault,retry_fault,1,13,1,1,2,2,prbs_lane_fault_recover
retry_backpressure_cross,backpressure,0,13,0,1,0,0,
latency_low,latency,0,13,0,1,0,0,
latency_nominal,latency,13,13,1,1,1456,253,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
latency_high,latency,0,13,0,1,0,0,
e2e_updates,end_to_end,13,13,1,1,8849,1521,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
e2e_mismatch,end_to_end,2,13,1,1,72,36,soc_misalign;soc_wrong_key
expected_empty,end_to_end,0,13,0,1,0,0,
power_reset_proxy,power,13,13,1,1,117,9,prbs_backpressure_wave;prbs_credit_starve;prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
power_idle_proxy,power,11,13,1,1,50143,24910,prbs_lane_fault_recover;prbs_rand_stress;prbs_reset_midflight;prbs_retry_single;prbs_smoke;soc_backpressure;soc_misalign;soc_smoke;soc_wrong_key
