metric,value
sample_cycles,1197
link_reset,1
link_train,16
link_active,1180
link_retrain,0
link_degraded,0
link_transitions,2
link_recoveries,0
credit_zero,0
credit_low,0
credit_mid,0
credit_high,1197
backpressure,0
crc_error,0
resend_request,0
lane_fault,0
retry_backpressure_cross,0
latency_low,4
latency_nominal,0
latency_high,0
e2e_updates,32
e2e_mismatch,0
expected_empty,0
power_reset_proxy,9
power_idle_proxy,1173
dma_submit_occ_0,697
dma_submit_occ_1,131
dma_submit_occ_23,262
dma_submit_occ_4,107
dma_comp_occ_0,699
dma_comp_occ_1,161
dma_comp_occ_23,302
dma_comp_occ_4,35
dma_submit_accept,4
dma_reject_odd,0
dma_reject_range,0
dma_reject_qfull,5
dma_reject_blocked,0
dma_reject_overflow,842
dma_submit_head_wrap,0
dma_submit_tail_wrap,1
dma_comp_head_wrap,2
dma_comp_tail_wrap,2
dma_active_present,480
dma_multi_queued,369
dma_comp_success,4
dma_comp_runtime_error,0
dma_comp_submit_reject,4
dma_retire_stall,0
dma_queue_drain_full_to_empty,1
dma_completion_under_retry,0
dma_completion_after_recovery,0
dma_completion_after_sleep_resume,4
mem_src_conflict,0
mem_dst_conflict,0
mem_wait,0
mem_parity_maint,0
mem_parity_dma,0
mem_invalid_read,0
mem_write_reject,0
mem_invalid_bank_present,0
mem_wake_apply,799
covered_bins,29
total_bins,60
