point_type,source,line,object,hit_count,reviewed_exclusion
branch,base_soc/rtl/pd1_rv32/rv32_core.sv,98,else,0,none
branch,base_soc/rtl/pd1_rv32/rv32_core.sv,529,else,0,none
branch,base_soc/rtl/pd1_rv32/rv32_core.sv,609,if,0,none
branch,base_soc/rtl/pd1_rv32/rv32_core.sv,617,else,0,none
branch,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,41,else,0,none
branch,chiplet_extension/rtl/d2d_adapter/ucie_rx.sv,41,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,104,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,106,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,106,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,115,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,120,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,122,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,122,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,129,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,129,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,135,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,135,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,142,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,143,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,143,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,148,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,148,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,153,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,153,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,159,if,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,163,else,0,none
branch,chiplet_extension/rtl/die_a/die_a_system.sv,163,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,256,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,268,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,276,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,284,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,298,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,643,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,651,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,662,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,670,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,762,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,811,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,826,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,827,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,837,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,857,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,868,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,868,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,874,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,874,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,879,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,879,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,881,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,881,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,894,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,894,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,896,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,896,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,908,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,908,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,915,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,915,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,960,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,960,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,969,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1001,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1010,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1055,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1057,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1057,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1101,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1130,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1130,if,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1132,else,0,none
branch,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1132,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,113,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,121,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,127,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,133,if,0,none
branch,chiplet_extension/rtl/die_b/die_b_system.sv,143,if,0,none
branch,chiplet_extension/rtl/phy_model/phy_behavioral.sv,111,if,0,none
branch,chiplet_extension/rtl/phy_model/phy_behavioral.sv,112,else,0,none
branch,chiplet_extension/rtl/phy_model/phy_behavioral.sv,112,if,0,none
branch,chiplet_extension/rtl/phy_model/phy_behavioral.sv,122,if,0,none
branch,chiplet_extension/rtl/power/chiplet_power_ctrl.sv,123,else,0,none
branch,chiplet_extension/rtl/power/chiplet_power_ctrl.sv,135,if,0,none
branch,chiplet_extension/rtl/power/chiplet_power_ctrl.sv,146,if,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,131,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,133,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,134,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,135,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,146,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,180,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,471,case,0,none
line,base_soc/rtl/pd1_rv32/rv32_core.sv,567,elsif,0,none
line,chiplet_extension/rtl/d2d_adapter/credit_mgr.sv,44,elsif,0,none
line,chiplet_extension/rtl/d2d_adapter/credit_mgr.sv,47,if,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,50,if,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,69,else,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,69,if,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,76,case,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,78,elsif,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,81,else,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,81,if,0,none
line,chiplet_extension/rtl/d2d_adapter/link_fsm.sv,88,case,0,none
line,chiplet_extension/rtl/die_a/die_a_system.sv,126,block,0,none
line,chiplet_extension/rtl/die_a/die_a_system.sv,161,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,404,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,405,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,406,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,407,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,408,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,413,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,414,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,418,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,419,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,437,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,438,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,445,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,456,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,457,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,459,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,646,block,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,654,block,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,736,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,737,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,738,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,739,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,741,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,745,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,757,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,838,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,840,else,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,840,if,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,858,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,860,else,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,860,if,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,905,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,932,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,934,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,936,elsif,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1129,case,0,none
line,chiplet_extension/rtl/die_a/dma_offload_ctrl.sv,1157,case,0,none
line,chiplet_extension/rtl/die_b/aes128_iterative.sv,273,case,0,none
line,chiplet_extension/rtl/die_b/aes128_iterative.sv,289,case,0,none
line,chiplet_extension/rtl/die_b/die_b_system.sv,141,elsif,0,none
line,chiplet_extension/rtl/power/chiplet_power_ctrl.sv,67,case,0,none
line,chiplet_extension/rtl/soc_die_b_top.sv,220,elsif,0,none
