coverage_point,hit,hit_count,contributors,evidence
compiler_O0,1,6,c_initialized_data_sections_O0;c_abi_stack_call_matrix_O0;isa_matrix_O0;operand_corner_matrix_O0;rv32_decode_legality_matrix_O0;apb_reset_phase_matrix_O0,GCC_ELF_RVFI_ISS
compiler_O1,1,6,c_initialized_data_sections_O1;c_abi_stack_call_matrix_O1;isa_matrix_O1;operand_corner_matrix_O1;rv32_decode_legality_matrix_O1;apb_reset_phase_matrix_O1,GCC_ELF_RVFI_ISS
compiler_O2,1,16,c_initialized_data_sections_O2;c_abi_stack_call_matrix_O2;isa_matrix_O2;operand_corner_matrix_O2;csr_state_matrix_O2;rv32_decode_legality_matrix_O2;apb_reset_phase_matrix_O2;apb_wait_trap_O2;rv32_control_flow_boundary_matrix_O2;rv32_sram_boundary_fault_matrix_O2;interrupt_during_apb_wait_O2;interrupt_mask_pending_enable_O2;irq_trap_priority_matrix_O2;irq_level_mret_matrix_O2;reset_irq_handler_matrix_O2;apb_atomicity_wait_error_matrix_O2,GCC_ELF_RVFI_ISS
compiler_Os,1,6,c_initialized_data_sections_Os;c_abi_stack_call_matrix_Os;isa_matrix_Os;operand_corner_matrix_Os;rv32_decode_legality_matrix_Os;apb_reset_phase_matrix_Os,GCC_ELF_RVFI_ISS
abi_stack_alignment,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_callee_saved,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_nested_call,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_function_pointer,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_struct_argument,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_struct_return,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_switch,1,4,c_abi_stack_call_matrix_O0;c_abi_stack_call_matrix_O1;c_abi_stack_call_matrix_O2;c_abi_stack_call_matrix_Os,GCC_ELF_RVFI_ISS
abi_initialized_data,1,4,c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os,GCC_ELF_RVFI_ISS
abi_bss_zero,1,4,c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os,GCC_ELF_RVFI_ISS
abi_rodata,1,4,c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os,GCC_ELF_RVFI_ISS
abi_volatile_mmio,1,4,c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os,GCC_ELF_RVFI_ISS
abi_linker_relocation,1,4,c_initialized_data_sections_O0;c_initialized_data_sections_O1;c_initialized_data_sections_O2;c_initialized_data_sections_Os,GCC_ELF_RVFI_ISS
