test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log,optimizer,elf_sha256,source_set
c_initialized_data_sections_O0,compiler_matrix,gcc_cpu_data,PASS,20260717,1298,427,427,3.040,,,,,,,0,1,2,0,0,0,0,0,0,0,0,00000000,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/c_initialized_data_sections_O0.csv,chiplet_extension/build/firmware_c/events/c_initialized_data_sections_O0.csv,chiplet_extension/build/firmware_c/logs/c_initialized_data_sections_O0.log,O0,5337116ec9a9d03d72fe9e594d3772cfc6a31ba6805d8436b9085886cd084d38,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_abi_stack_call_matrix_O0,compiler_matrix,gcc_cpu_abi,PASS,20260717,1987,658,658,3.020,,,,,,,0,0,1,0,0,0,0,0,0,0,0,d4aba583,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/c_abi_stack_call_matrix_O0.csv,chiplet_extension/build/firmware_c/events/c_abi_stack_call_matrix_O0.csv,chiplet_extension/build/firmware_c/logs/c_abi_stack_call_matrix_O0.log,O0,9acd00e353421a54cc67b0b0c29a6a48da89c51f718110f7d21c5d655db7cd96,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
isa_matrix_O0,compiler_matrix,isa_matrix,PASS,20260717,2444,809,809,3.021,,,,,,,0,1,2,0,11,0,0,0,0,0,0,0000000c,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/isa_matrix_O0.csv,chiplet_extension/build/firmware_c/events/isa_matrix_O0.csv,chiplet_extension/build/firmware_c/logs/isa_matrix_O0.log,O0,592cc257a4f2b1fce62eb429f377ee5bf0367118e28e8e359bf704ac38fd8460,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
operand_corner_matrix_O0,compiler_matrix,gcc_cpu_only,PASS,20260717,697,228,228,3.057,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4f504552,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/operand_corner_matrix_O0.csv,chiplet_extension/build/firmware_c/events/operand_corner_matrix_O0.csv,chiplet_extension/build/firmware_c/logs/operand_corner_matrix_O0.log,O0,682ddd36e76c8ea1bfa84b9f3e2f72906c948843caa8d03314e57d5819c92885,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
rv32_decode_legality_matrix_O0,compiler_matrix,gcc_decode_legality,PASS,20260717,1153,380,380,3.034,,,,,,,0,0,1,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/rv32_decode_legality_matrix_O0.csv,chiplet_extension/build/firmware_c/events/rv32_decode_legality_matrix_O0.csv,chiplet_extension/build/firmware_c/logs/rv32_decode_legality_matrix_O0.log,O0,5b14cbc16ebd3069aca1e51f2c3e0f96ce4664a170553fdeebffd90234622667,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_reset_phase_matrix_O0,compiler_matrix,gcc_apb_reset_phase,PASS,20260717,1256,396,396,3.172,,,,,,,0,3,8,0,0,1,0,1,0,0,0,00000917,30,0,90,0,90,optimizer=O0,chiplet_extension/build/firmware_c/traces/apb_reset_phase_matrix_O0.csv,chiplet_extension/build/firmware_c/events/apb_reset_phase_matrix_O0.csv,chiplet_extension/build/firmware_c/logs/apb_reset_phase_matrix_O0.log,O0,e4934af4cc79eaa647fd096e50092d16d6da80e83e9fb0db6362d4f7ea3b2b47,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_initialized_data_sections_O1,compiler_matrix,gcc_cpu_data,PASS,20260717,587,190,190,3.089,,,,,,,0,1,2,0,0,0,0,0,0,0,0,00000000,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/c_initialized_data_sections_O1.csv,chiplet_extension/build/firmware_c/events/c_initialized_data_sections_O1.csv,chiplet_extension/build/firmware_c/logs/c_initialized_data_sections_O1.log,O1,cd7ed89cc2e74b35ae0c97d6df28213061a42fb2aa613fd1bfad990c51b085e2,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_abi_stack_call_matrix_O1,compiler_matrix,gcc_cpu_abi,PASS,20260717,997,328,328,3.040,,,,,,,0,0,1,0,0,0,0,0,0,0,0,d4aba583,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/c_abi_stack_call_matrix_O1.csv,chiplet_extension/build/firmware_c/events/c_abi_stack_call_matrix_O1.csv,chiplet_extension/build/firmware_c/logs/c_abi_stack_call_matrix_O1.log,O1,af853e5a29bba152468258abb124f10fad6a89c7a63c6027e00499e04ddfd48c,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
isa_matrix_O1,compiler_matrix,isa_matrix,PASS,20260717,2126,703,703,3.024,,,,,,,0,1,2,0,11,0,0,0,0,0,0,0000000c,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/isa_matrix_O1.csv,chiplet_extension/build/firmware_c/events/isa_matrix_O1.csv,chiplet_extension/build/firmware_c/logs/isa_matrix_O1.log,O1,a04564431b1c83235feced1b5b7a0ee204df8e3311d8b8be64ce6ac44ab6b772,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
operand_corner_matrix_O1,compiler_matrix,gcc_cpu_only,PASS,20260717,442,143,143,3.091,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4f504552,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/operand_corner_matrix_O1.csv,chiplet_extension/build/firmware_c/events/operand_corner_matrix_O1.csv,chiplet_extension/build/firmware_c/logs/operand_corner_matrix_O1.log,O1,19ed2bdad1fb36d40ae82e2988f254948bf642697867126f6d62a003135db00e,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
rv32_decode_legality_matrix_O1,compiler_matrix,gcc_decode_legality,PASS,20260717,901,296,296,3.044,,,,,,,0,0,1,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/rv32_decode_legality_matrix_O1.csv,chiplet_extension/build/firmware_c/events/rv32_decode_legality_matrix_O1.csv,chiplet_extension/build/firmware_c/logs/rv32_decode_legality_matrix_O1.log,O1,e1be6025f499470728f072414af6c1c4649c91d7f9dfce49934b5c85635b7b39,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
apb_reset_phase_matrix_O1,compiler_matrix,gcc_apb_reset_phase,PASS,20260717,553,150,150,3.687,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000917,51,0,90,0,90,optimizer=O1,chiplet_extension/build/firmware_c/traces/apb_reset_phase_matrix_O1.csv,chiplet_extension/build/firmware_c/events/apb_reset_phase_matrix_O1.csv,chiplet_extension/build/firmware_c/logs/apb_reset_phase_matrix_O1.log,O1,d75cd3a6816e97a29d49326792e46320c7e3774b7985fd4a3e86937a44477af6,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_initialized_data_sections_O2,compiler_matrix,gcc_cpu_data,PASS,20260717,581,188,188,3.090,,,,,,,0,1,2,0,0,0,0,0,0,0,0,00000000,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/c_initialized_data_sections_O2.csv,chiplet_extension/build/firmware_c/events/c_initialized_data_sections_O2.csv,chiplet_extension/build/firmware_c/logs/c_initialized_data_sections_O2.log,O2,514c81979aab17b754e2917e8cc63acae91dffb8155048997475145bc230e018,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
c_abi_stack_call_matrix_O2,compiler_matrix,gcc_cpu_abi,PASS,20260717,991,326,326,3.040,,,,,,,0,0,1,0,0,0,0,0,0,0,0,d4aba583,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/c_abi_stack_call_matrix_O2.csv,chiplet_extension/build/firmware_c/events/c_abi_stack_call_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/c_abi_stack_call_matrix_O2.log,O2,6a087c1741c0a74a3626c57653ebdcafc0d7073637019e4a5c4236d3eef21b80,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
isa_matrix_O2,compiler_matrix,isa_matrix,PASS,20260717,2132,705,705,3.024,,,,,,,0,1,2,0,11,0,0,0,0,0,0,0000000c,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/isa_matrix_O2.csv,chiplet_extension/build/firmware_c/events/isa_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/isa_matrix_O2.log,O2,bcadd43e46b2f6d3380d93d88f3ef7461f93c11a9de9a7154b1a4cecdb5b19b8,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
operand_corner_matrix_O2,compiler_matrix,gcc_cpu_only,PASS,20260717,448,145,145,3.090,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4f504552,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/operand_corner_matrix_O2.csv,chiplet_extension/build/firmware_c/events/operand_corner_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/operand_corner_matrix_O2.log,O2,58a3d93b3dc2abe281e976cc7f70c60e0ca29921c8928520671a85e0a46986ef,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
csr_state_matrix_O2,compiler_matrix,gcc_cpu_only,PASS,20260717,433,140,140,3.093,,,,,,,0,0,1,0,0,0,0,0,0,0,0,43535253,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/csr_state_matrix_O2.csv,chiplet_extension/build/firmware_c/events/csr_state_matrix_O2.csv,chiplet_extension/build/firmware_c/logs/csr_state_matrix_O2.log,O2,c05f6b11e9da43f278d4c36ec5c1037b653509b5fe448c6554b48a9cd8f1c0d7,crt0.S;scenario.c;abi_support.c;isa_matrix.S;extended_matrix.S
