cross_group,cross_bin,hit,hit_count,source_tests,evidence_window
instruction_operand,alu_zero,1,85,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24,same scenario transaction/retirement window
instruction_operand,alu_ones,1,26,operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
instruction_operand,alu_signed_min,1,2,operand_corner_matrix;cpu_seed_03,same scenario transaction/retirement window
instruction_operand,alu_signed_max,1,1,operand_corner_matrix,same scenario transaction/retirement window
instruction_operand,alu_shift0,1,13,isa_matrix;operand_corner_matrix;cpu_seed_01;cpu_seed_05;cpu_seed_09;cpu_seed_10;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22,same scenario transaction/retirement window
instruction_operand,alu_shift1,1,13,queue_full_recovery;isa_matrix;cpu_seed_01;cpu_seed_02;cpu_seed_04;cpu_seed_07;cpu_seed_09;cpu_seed_11;cpu_seed_13;cpu_seed_20;cpu_seed_21;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
instruction_operand,alu_shift31,1,8,operand_corner_matrix;cpu_seed_03;cpu_seed_07;cpu_seed_12;cpu_seed_13;cpu_seed_15;cpu_seed_16;cpu_seed_24,same scenario transaction/retirement window
instruction_operand,alu_add_overflow,1,7,operand_corner_matrix;cpu_seed_03;cpu_seed_04;cpu_seed_10;cpu_seed_15;cpu_seed_16;cpu_seed_23,same scenario transaction/retirement window
instruction_operand,alu_sub_underflow,1,1,operand_corner_matrix,same scenario transaction/retirement window
instruction_operand,alu_signed_compare,1,26,isa_matrix;operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
instruction_operand,alu_unsigned_compare,1,85,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24,same scenario transaction/retirement window
instruction_operand,alu_x0,1,28,interrupt_dma;isa_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;dma_completion_pressure_irq;power_active_dma_matrix;power_completion_pending_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;firmware_completion_mode_error_power_matrix;workload_seed_01;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_07;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_13;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_19;workload_seed_21;workload_seed_22;workload_seed_23,same scenario transaction/retirement window
memory_width_offset,lb_off3,1,26,isa_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,lbu_off1,1,26,operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,lh_off0,1,26,operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,lhu_off2,1,27,isa_matrix;operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,lw_off0,1,85,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24,same scenario transaction/retirement window
memory_width_offset,sb_off1,1,27,isa_matrix;c_initialized_data_sections;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,sb_off3,1,28,operand_corner_matrix;c_initialized_data_sections;rv32_sram_boundary_fault_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,sh_off0,1,85,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24,same scenario transaction/retirement window
memory_width_offset,sh_off2,1,27,isa_matrix;operand_corner_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24,same scenario transaction/retirement window
memory_width_offset,sw_off0,1,85,polling_dma;interrupt_dma;back_to_back;queue_full_recovery;timeout_handler;parity_error;invalid_source;sleep_resume;apb_wait_trap;reset_mid_wait;isa_matrix;operand_corner_matrix;csr_state_matrix;interrupt_before_after_retire;interrupt_during_apb_wait;interrupt_mask_pending_enable;apb_wait_depth_matrix;apb_reset_phase_matrix;apb_access_legality_matrix;dma_length_bank_matrix;dma_completion_pressure_irq;dma_tag_reuse_recovery;power_active_dma_matrix;power_completion_pending_matrix;c_initialized_data_sections;c_abi_stack_call_matrix;rv32_decode_legality_matrix;rv32_control_flow_boundary_matrix;rv32_sram_boundary_fault_matrix;csr_illegal_mask_alignment_matrix;irq_trap_priority_matrix;irq_level_mret_matrix;reset_irq_handler_matrix;apb_atomicity_wait_error_matrix;firmware_completion_mode_error_power_matrix;cpu_seed_00;cpu_seed_01;cpu_seed_02;cpu_seed_03;cpu_seed_04;cpu_seed_05;cpu_seed_06;cpu_seed_07;cpu_seed_08;cpu_seed_09;cpu_seed_10;cpu_seed_11;cpu_seed_12;cpu_seed_13;cpu_seed_14;cpu_seed_15;cpu_seed_16;cpu_seed_17;cpu_seed_18;cpu_seed_19;cpu_seed_20;cpu_seed_21;cpu_seed_22;cpu_seed_23;cpu_seed_24;workload_seed_00;workload_seed_01;workload_seed_02;workload_seed_03;workload_seed_04;workload_seed_05;workload_seed_06;workload_seed_07;workload_seed_08;workload_seed_09;workload_seed_10;workload_seed_11;workload_seed_12;workload_seed_13;workload_seed_14;workload_seed_15;workload_seed_16;workload_seed_17;workload_seed_18;workload_seed_19;workload_seed_20;workload_seed_21;workload_seed_22;workload_seed_23;workload_seed_24,same scenario transaction/retirement window
