test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log
polling_dma,directed,dma_smoke,PASS,20260717,556,165,165,3.370,,,,,,,0,16,9,0,0,1,0,1,0,0,0,00000101,0,12,90,0,90,,chiplet_extension/build/firmware_c/traces/polling_dma.csv,chiplet_extension/build/firmware_c/events/polling_dma.csv,chiplet_extension/build/firmware_c/logs/polling_dma.log
interrupt_dma,directed,irq_pending_then_enable,PASS,20260717,755,232,232,3.254,,,,,,,0,14,10,1,0,1,0,1,0,0,0,00000001,0,1,119,179,90,,chiplet_extension/build/firmware_c/traces/interrupt_dma.csv,chiplet_extension/build/firmware_c/events/interrupt_dma.csv,chiplet_extension/build/firmware_c/logs/interrupt_dma.log
back_to_back,directed,dma_back_to_back,PASS,20260717,606,177,177,3.424,,,,,,,0,18,14,0,0,2,0,2,0,0,0,00000101,0,0,90,0,90,,chiplet_extension/build/firmware_c/traces/back_to_back.csv,chiplet_extension/build/firmware_c/events/back_to_back.csv,chiplet_extension/build/firmware_c/logs/back_to_back.log
queue_full_recovery,directed,queue_full_reject,PASS,20260717,3835,990,990,3.874,,,,,,,0,384,43,0,0,6,1,7,3,0,0,0000c18e,0,0,0,0,201,,chiplet_extension/build/firmware_c/traces/queue_full_recovery.csv,chiplet_extension/build/firmware_c/events/queue_full_recovery.csv,chiplet_extension/build/firmware_c/logs/queue_full_recovery.log
timeout_handler,directed,timeout_error,PASS,20260717,1462,391,391,3.739,,,,,,,0,131,8,0,0,1,0,1,1,0,0,00000024,0,0,0,0,1027,,chiplet_extension/build/firmware_c/traces/timeout_handler.csv,chiplet_extension/build/firmware_c/events/timeout_handler.csv,chiplet_extension/build/firmware_c/logs/timeout_handler.log
parity_error,directed,parity_source_error,PASS,20260717,530,165,165,3.212,,,,,,,0,3,9,0,0,1,0,1,1,0,0,00000026,0,0,0,0,4,,chiplet_extension/build/firmware_c/traces/parity_error.csv,chiplet_extension/build/firmware_c/events/parity_error.csv,chiplet_extension/build/firmware_c/logs/parity_error.log
invalid_source,directed,deep_sleep_invalid_source,PASS,20260717,433,134,134,3.231,,,,,,,0,3,7,0,0,1,0,1,1,0,0,00000027,0,0,0,0,4,,chiplet_extension/build/firmware_c/traces/invalid_source.csv,chiplet_extension/build/firmware_c/events/invalid_source.csv,chiplet_extension/build/firmware_c/logs/invalid_source.log
sleep_resume,directed,sleep_resume,PASS,20260717,565,161,161,3.509,,,,,,,0,16,8,0,0,1,0,1,0,0,0,00000177,23,15,136,0,136,,chiplet_extension/build/firmware_c/traces/sleep_resume.csv,chiplet_extension/build/firmware_c/events/sleep_resume.csv,chiplet_extension/build/firmware_c/logs/sleep_resume.log
apb_wait_trap,directed,apb_wait_error,PASS,20260717,925,299,299,3.094,,,,,,,0,2,2,0,3,0,0,0,0,0,0,00000000,9,0,0,0,0,,chiplet_extension/build/firmware_c/traces/apb_wait_trap.csv,chiplet_extension/build/firmware_c/events/apb_wait_trap.csv,chiplet_extension/build/firmware_c/logs/apb_wait_trap.log
reset_mid_wait,directed,apb_reset_mid_wait,PASS,20260717,873,256,256,3.410,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000181,51,9,90,0,90,,chiplet_extension/build/firmware_c/traces/reset_mid_wait.csv,chiplet_extension/build/firmware_c/events/reset_mid_wait.csv,chiplet_extension/build/firmware_c/logs/reset_mid_wait.log
