test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log,expected_signature,signature_match,source_sha256,elf_sha256,instruction_knobs
generated_c_0000c000,generated_c,gcc_cpu_only,PASS,49152,2812,933,933,3.014,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0893799c,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/generated_c_0000c000.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c000.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c000.log,0893799c,1,9a020b054dd3be383db631fd08cbaff236b9710d815d36303f6d261210c5acb6,e73d7ecc60ee49863b4146d6a4b6d4612b42d3ecf2e3e3f2c67c44cca7783009,add=29;xor=28;rotate=33;branch=30
generated_c_0000c001,generated_c,gcc_cpu_only,PASS,49153,343,110,110,3.118,,,,,,,0,0,1,0,0,0,0,0,0,0,0,a818ebaf,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/generated_c_0000c001.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c001.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c001.log,a818ebaf,1,55ba135bbd38c5360bef4e1c40b94d28298ed2758317fceebdf7edafd7a519ca,83c95d7010ef694db78c54f7ec475c00920b718ae95d9ffb581aca16d9909b19,add=24;xor=35;rotate=35;branch=26
generated_c_0000c002,generated_c,gcc_cpu_only,PASS,49154,349,112,112,3.116,,,,,,,0,0,1,0,0,0,0,0,0,0,0,b0a25c2c,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/generated_c_0000c002.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c002.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c002.log,b0a25c2c,1,2301627e4a79f3901dedffa887a1e1097f6006714c5ccef1db5130f74b888cda,864aad979d99e555ca65e83378d3dda759a2ac3e6d39b608c193847348857dac,add=29;xor=31;rotate=29;branch=31
generated_c_0000c003,generated_c,gcc_cpu_only,PASS,49155,346,111,111,3.117,,,,,,,0,0,1,0,0,0,0,0,0,0,0,891546eb,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/generated_c_0000c003.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c003.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c003.log,891546eb,1,cef82df1b42bc4ee06f241e3621c72feab9e7c0e3329f7792bb92cb5ec47c1e0,35e9e41764427a07f927ddef7110745887fc94bac98e8200b6eb95724c959987,add=30;xor=36;rotate=31;branch=23
generated_c_0000c004,generated_c,gcc_cpu_only,PASS,49156,2884,957,957,3.014,,,,,,,0,0,1,0,0,0,0,0,0,0,0,b7c45da5,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/generated_c_0000c004.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c004.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c004.log,b7c45da5,1,2a5ab6b694788668af16c7af30e2f0de30a09b3480d562ab1480f70796f575a7,dfc68d2179e3d2498c299a53b853eff01a152ad1184df70d6ce93394cd598a1c,add=22;xor=31;rotate=31;branch=36
generated_c_0000c005,generated_c,gcc_cpu_only,PASS,49157,343,110,110,3.118,,,,,,,0,0,1,0,0,0,0,0,0,0,0,f7e88614,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/generated_c_0000c005.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c005.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c005.log,f7e88614,1,1073be13802c781f26fa860e4d70495a392134fe3baaf965bd7c50cccd7c8f4e,7d6b8691520e071bf6e6d6c845a7f722d5ce2c9fdc6f214e7e06c14da1c8428b,add=32;xor=30;rotate=30;branch=28
generated_c_0000c006,generated_c,gcc_cpu_only,PASS,49158,349,112,112,3.116,,,,,,,0,0,1,0,0,0,0,0,0,0,0,97f480e9,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/generated_c_0000c006.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c006.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c006.log,97f480e9,1,abd272c4ab232e812d0a54e07079305707848e03241cf075010e5dd749059a39,0df9db0e4f84f483d8859194d9b8efbab96190ebe79ba3e9392f7cb3e1249d8a,add=28;xor=34;rotate=29;branch=29
generated_c_0000c007,generated_c,gcc_cpu_only,PASS,49159,346,111,111,3.117,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4993d1d6,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/generated_c_0000c007.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c007.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c007.log,4993d1d6,1,25cc49dbd21bcaa74c37bd4459efa63a403a49d72417e94d0c17b679b0e326f7,4a9b0e1b3766e620492392ea99ab2c023035cafec73f0ea2a06bb8ef28472e23,add=24;xor=32;rotate=30;branch=34
generated_c_0000c008,generated_c,gcc_cpu_only,PASS,49160,2929,972,972,3.013,,,,,,,0,0,1,0,0,0,0,0,0,0,0,f6ef3953,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/generated_c_0000c008.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c008.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c008.log,f6ef3953,1,b9b90f2eae619863ef0cdd62370db4c68293bff310dc831e6e90f01dc6020e48,daee0bbc04635aaf34fb3982d1204bdeeca88f6342f79eeb3cd85e1359f47133,add=26;xor=26;rotate=27;branch=41
generated_c_0000c009,generated_c,gcc_cpu_only,PASS,49161,343,110,110,3.118,,,,,,,0,0,1,0,0,0,0,0,0,0,0,a0f78b3d,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/generated_c_0000c009.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c009.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c009.log,a0f78b3d,1,7cc7cf0bf511bd8a1d89af9c4309d49f629570b3bf515b64f23e964110316aa4,92f4927c75ff33b490992747fb8024d849c59a69ba57ca1c7e798cfc4da2b3bc,add=27;xor=28;rotate=34;branch=31
generated_c_0000c00a,generated_c,gcc_cpu_only,PASS,49162,349,112,112,3.116,,,,,,,0,0,1,0,0,0,0,0,0,0,0,3e951d0a,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/generated_c_0000c00a.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00a.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00a.log,3e951d0a,1,a3b33784e6ca21dad0efe2473dfd281f5b800d4b16d9fc57ef953e7b11d54f98,e1c0d4042062794211f7d62ba3241afa2621dc883242ef8557ea08f4fb0593bb,add=25;xor=32;rotate=31;branch=32
generated_c_0000c00b,generated_c,gcc_cpu_only,PASS,49163,346,111,111,3.117,,,,,,,0,0,1,0,0,0,0,0,0,0,0,61d41b5e,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/generated_c_0000c00b.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00b.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00b.log,61d41b5e,1,526bc71ad3e28e39550eff819d69d52acfd0d65e8efd3465997279a901f8bc15,8f52138126a5b640dfd08f40fd6b9b02c24deaf530861c4308c6f270060a0482,add=31;xor=26;rotate=34;branch=29
generated_c_0000c00c,generated_c,gcc_cpu_only,PASS,49164,2857,948,948,3.014,,,,,,,0,0,1,0,0,0,0,0,0,0,0,6cc56389,0,0,0,0,0,optimizer=O0,chiplet_extension/build/firmware_c/traces/generated_c_0000c00c.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00c.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00c.log,6cc56389,1,bfc921f36482ea20d0cfd44d4c59c369ecf3fa8d19e5ea50d37473c38cc5b6ec,1749fda8ce956d18d313299500201cd7a8eaeea34097c1a38d89dd1e4b47ed27,add=26;xor=35;rotate=24;branch=35
generated_c_0000c00d,generated_c,gcc_cpu_only,PASS,49165,343,110,110,3.118,,,,,,,0,0,1,0,0,0,0,0,0,0,0,9e60cf2c,0,0,0,0,0,optimizer=O1,chiplet_extension/build/firmware_c/traces/generated_c_0000c00d.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00d.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00d.log,9e60cf2c,1,73b3eae1b97d91685b56bbdc11707ce57960f4b532a6bf48afd29419d1bbc2c2,e1945f73437b1a370982692e8c090a4ab6e96fdf346818878219617d767a193a,add=22;xor=26;rotate=38;branch=34
generated_c_0000c00e,generated_c,gcc_cpu_only,PASS,49166,349,112,112,3.116,,,,,,,0,0,1,0,0,0,0,0,0,0,0,58fb419c,0,0,0,0,0,optimizer=O2,chiplet_extension/build/firmware_c/traces/generated_c_0000c00e.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00e.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00e.log,58fb419c,1,fd9ad435e8998e7047536e9ef70dfb6182774c302047bad3f89a881074ef116a,64c627dfa4980f8a385abc34ef6478d44840faccdeab408be23706ded51c6a9f,add=28;xor=36;rotate=33;branch=23
generated_c_0000c00f,generated_c,gcc_cpu_only,PASS,49167,346,111,111,3.117,,,,,,,0,0,1,0,0,0,0,0,0,0,0,35e00eb3,0,0,0,0,0,optimizer=Os,chiplet_extension/build/firmware_c/traces/generated_c_0000c00f.csv,chiplet_extension/build/firmware_c/events/generated_c_0000c00f.csv,chiplet_extension/build/firmware_c/logs/generated_c_0000c00f.log,35e00eb3,1,416bd1282dd8b04aac0a7f9d596cfe119554edf379b8de69a33847a3f4ecb554,720436ae6c763b2a909e3fccf9e97a98f0b199840fe211495f9a8fda21977f08,add=35;xor=25;rotate=28;branch=32
