test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log
polling_dma,directed,dma_smoke,PASS,20260717,520,153,153,3.399,,,,,,,0,16,9,0,0,1,0,1,0,0,0,00000101,0,12,90,0,90,,chiplet_extension/build/firmware_c/traces/polling_dma.csv,chiplet_extension/build/firmware_c/events/polling_dma.csv,chiplet_extension/build/firmware_c/logs/polling_dma.log
interrupt_dma,directed,irq_pending_then_enable,PASS,20260717,686,209,209,3.282,,,,,,,0,14,10,1,0,1,0,1,0,0,0,00000001,0,1,119,146,90,,chiplet_extension/build/firmware_c/traces/interrupt_dma.csv,chiplet_extension/build/firmware_c/events/interrupt_dma.csv,chiplet_extension/build/firmware_c/logs/interrupt_dma.log
back_to_back,directed,dma_back_to_back,PASS,20260717,570,165,165,3.455,,,,,,,0,18,14,0,0,2,0,2,0,0,0,00000101,0,0,90,0,90,,chiplet_extension/build/firmware_c/traces/back_to_back.csv,chiplet_extension/build/firmware_c/events/back_to_back.csv,chiplet_extension/build/firmware_c/logs/back_to_back.log
queue_full_recovery,directed,queue_full_reject,PASS,20260717,3799,978,978,3.884,,,,,,,0,384,43,0,0,6,1,7,3,0,0,0000c18e,0,0,0,0,201,,chiplet_extension/build/firmware_c/traces/queue_full_recovery.csv,chiplet_extension/build/firmware_c/events/queue_full_recovery.csv,chiplet_extension/build/firmware_c/logs/queue_full_recovery.log
timeout_handler,directed,timeout_error,PASS,20260717,1426,379,379,3.763,,,,,,,0,131,8,0,0,1,0,1,1,0,0,00000024,0,0,0,0,1027,,chiplet_extension/build/firmware_c/traces/timeout_handler.csv,chiplet_extension/build/firmware_c/events/timeout_handler.csv,chiplet_extension/build/firmware_c/logs/timeout_handler.log
parity_error,directed,parity_source_error,PASS,20260717,494,153,153,3.229,,,,,,,0,3,9,0,0,1,0,1,1,0,0,00000026,0,0,0,0,4,,chiplet_extension/build/firmware_c/traces/parity_error.csv,chiplet_extension/build/firmware_c/events/parity_error.csv,chiplet_extension/build/firmware_c/logs/parity_error.log
invalid_source,directed,deep_sleep_invalid_source,PASS,20260717,397,122,122,3.254,,,,,,,0,3,7,0,0,1,0,1,1,0,0,00000027,0,0,0,0,4,,chiplet_extension/build/firmware_c/traces/invalid_source.csv,chiplet_extension/build/firmware_c/events/invalid_source.csv,chiplet_extension/build/firmware_c/logs/invalid_source.log
sleep_resume,directed,sleep_resume,PASS,20260717,529,149,149,3.550,,,,,,,0,16,8,0,0,1,0,1,0,0,0,00000177,23,15,136,0,136,,chiplet_extension/build/firmware_c/traces/sleep_resume.csv,chiplet_extension/build/firmware_c/events/sleep_resume.csv,chiplet_extension/build/firmware_c/logs/sleep_resume.log
apb_wait_trap,directed,apb_wait_error,PASS,20260717,790,254,254,3.110,,,,,,,0,2,2,0,3,0,0,0,0,0,0,00000000,9,0,0,0,0,,chiplet_extension/build/firmware_c/traces/apb_wait_trap.csv,chiplet_extension/build/firmware_c/events/apb_wait_trap.csv,chiplet_extension/build/firmware_c/logs/apb_wait_trap.log
reset_mid_wait,directed,apb_reset_mid_wait,PASS,20260717,801,232,232,3.453,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000181,51,9,90,0,90,,chiplet_extension/build/firmware_c/traces/reset_mid_wait.csv,chiplet_extension/build/firmware_c/events/reset_mid_wait.csv,chiplet_extension/build/firmware_c/logs/reset_mid_wait.log
isa_matrix,directed,isa_matrix,PASS,20260717,2129,704,704,3.024,,,,,,,0,1,2,0,11,0,0,0,0,0,0,0000000c,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/isa_matrix.csv,chiplet_extension/build/firmware_c/events/isa_matrix.csv,chiplet_extension/build/firmware_c/logs/isa_matrix.log
operand_corner_matrix,directed,gcc_cpu_only,PASS,20260717,445,144,144,3.090,,,,,,,0,0,1,0,0,0,0,0,0,0,0,4f504552,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/operand_corner_matrix.csv,chiplet_extension/build/firmware_c/events/operand_corner_matrix.csv,chiplet_extension/build/firmware_c/logs/operand_corner_matrix.log
csr_state_matrix,directed,gcc_cpu_only,PASS,20260717,430,139,139,3.094,,,,,,,0,0,1,0,0,0,0,0,0,0,0,43535253,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/csr_state_matrix.csv,chiplet_extension/build/firmware_c/events/csr_state_matrix.csv,chiplet_extension/build/firmware_c/logs/csr_state_matrix.log
interrupt_before_after_retire,directed,gcc_interrupt,PASS,20260717,667,204,204,3.270,,,,,,,0,13,9,1,0,1,0,1,0,0,0,00000001,0,0,90,146,90,,chiplet_extension/build/firmware_c/traces/interrupt_before_after_retire.csv,chiplet_extension/build/firmware_c/events/interrupt_before_after_retire.csv,chiplet_extension/build/firmware_c/logs/interrupt_before_after_retire.log
interrupt_during_apb_wait,directed,gcc_interrupt_apb_wait,PASS,20260717,739,194,194,3.809,,,,,,,0,8,9,1,0,1,0,1,0,0,0,00000001,112,0,90,153,90,,chiplet_extension/build/firmware_c/traces/interrupt_during_apb_wait.csv,chiplet_extension/build/firmware_c/events/interrupt_during_apb_wait.csv,chiplet_extension/build/firmware_c/logs/interrupt_during_apb_wait.log
interrupt_mask_pending_enable,directed,gcc_interrupt_masked,PASS,20260717,675,206,206,3.277,,,,,,,0,13,10,1,0,1,0,1,0,0,0,00000001,0,0,105,146,90,,chiplet_extension/build/firmware_c/traces/interrupt_mask_pending_enable.csv,chiplet_extension/build/firmware_c/events/interrupt_mask_pending_enable.csv,chiplet_extension/build/firmware_c/logs/interrupt_mask_pending_enable.log
apb_wait_depth_matrix,directed,gcc_apb_matrix,PASS,20260717,616,171,171,3.602,,,,,,,0,8,9,0,0,0,0,0,0,0,0,00000000,58,0,0,0,0,,chiplet_extension/build/firmware_c/traces/apb_wait_depth_matrix.csv,chiplet_extension/build/firmware_c/events/apb_wait_depth_matrix.csv,chiplet_extension/build/firmware_c/logs/apb_wait_depth_matrix.log
apb_reset_phase_matrix,directed,gcc_apb_reset_phase,PASS,20260717,556,151,151,3.682,,,,,,,0,10,8,0,0,1,0,1,0,0,0,00000917,51,0,90,0,90,,chiplet_extension/build/firmware_c/traces/apb_reset_phase_matrix.csv,chiplet_extension/build/firmware_c/events/apb_reset_phase_matrix.csv,chiplet_extension/build/firmware_c/logs/apb_reset_phase_matrix.log
apb_access_legality_matrix,directed,gcc_apb_legality,PASS,20260717,917,300,300,3.057,,,,,,,0,1,2,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/apb_access_legality_matrix.csv,chiplet_extension/build/firmware_c/events/apb_access_legality_matrix.csv,chiplet_extension/build/firmware_c/logs/apb_access_legality_matrix.log
dma_length_bank_matrix,directed,gcc_dma_matrix,PASS,20260717,1765,466,466,3.788,,,,,,,0,153,25,0,0,4,0,4,1,0,0,00000901,0,0,0,0,1027,,chiplet_extension/build/firmware_c/traces/dma_length_bank_matrix.csv,chiplet_extension/build/firmware_c/events/dma_length_bank_matrix.csv,chiplet_extension/build/firmware_c/logs/dma_length_bank_matrix.log
dma_completion_pressure_irq,directed,gcc_completion_pressure,PASS,20260717,1812,515,515,3.518,,,,,,,0,101,27,1,0,4,0,4,1,0,0,00000920,0,0,1166,146,1027,,chiplet_extension/build/firmware_c/traces/dma_completion_pressure_irq.csv,chiplet_extension/build/firmware_c/events/dma_completion_pressure_irq.csv,chiplet_extension/build/firmware_c/logs/dma_completion_pressure_irq.log
dma_tag_reuse_recovery,directed,gcc_tag_reuse,PASS,20260717,1558,413,413,3.772,,,,,,,0,141,13,0,0,2,0,2,1,0,0,00000933,0,0,0,0,1027,,chiplet_extension/build/firmware_c/traces/dma_tag_reuse_recovery.csv,chiplet_extension/build/firmware_c/events/dma_tag_reuse_recovery.csv,chiplet_extension/build/firmware_c/logs/dma_tag_reuse_recovery.log
power_active_dma_matrix,directed,gcc_power_active,PASS,20260717,673,214,214,3.145,,,,,,,0,1,9,1,0,1,0,1,0,0,0,00000956,0,0,114,146,114,,chiplet_extension/build/firmware_c/traces/power_active_dma_matrix.csv,chiplet_extension/build/firmware_c/events/power_active_dma_matrix.csv,chiplet_extension/build/firmware_c/logs/power_active_dma_matrix.log
power_completion_pending_matrix,directed,gcc_power_completion_pending,PASS,20260717,646,205,205,3.151,,,,,,,0,1,9,1,0,1,0,1,0,0,0,00000957,0,0,90,146,90,,chiplet_extension/build/firmware_c/traces/power_completion_pending_matrix.csv,chiplet_extension/build/firmware_c/events/power_completion_pending_matrix.csv,chiplet_extension/build/firmware_c/logs/power_completion_pending_matrix.log
c_initialized_data_sections,directed,gcc_cpu_data,PASS,20260717,548,177,177,3.096,,,,,,,0,1,2,0,0,0,0,0,0,0,0,00000000,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/c_initialized_data_sections.csv,chiplet_extension/build/firmware_c/events/c_initialized_data_sections.csv,chiplet_extension/build/firmware_c/logs/c_initialized_data_sections.log
c_abi_stack_call_matrix,directed,gcc_cpu_abi,PASS,20260717,997,328,328,3.040,,,,,,,0,0,1,0,0,0,0,0,0,0,0,d4aba583,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/c_abi_stack_call_matrix.csv,chiplet_extension/build/firmware_c/events/c_abi_stack_call_matrix.csv,chiplet_extension/build/firmware_c/logs/c_abi_stack_call_matrix.log
rv32_decode_legality_matrix,directed,gcc_decode_legality,PASS,20260717,904,297,297,3.044,,,,,,,0,0,1,0,4,0,0,0,0,0,0,00000004,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/rv32_decode_legality_matrix.csv,chiplet_extension/build/firmware_c/events/rv32_decode_legality_matrix.csv,chiplet_extension/build/firmware_c/logs/rv32_decode_legality_matrix.log
rv32_control_flow_boundary_matrix,directed,gcc_control_boundary,PASS,20260717,736,241,241,3.054,,,,,,,0,0,1,0,2,0,0,0,0,0,0,00000002,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/rv32_control_flow_boundary_matrix.csv,chiplet_extension/build/firmware_c/events/rv32_control_flow_boundary_matrix.csv,chiplet_extension/build/firmware_c/logs/rv32_control_flow_boundary_matrix.log
rv32_sram_boundary_fault_matrix,directed,gcc_sram_boundary,PASS,20260717,649,212,212,3.061,,,,,,,0,0,1,0,2,0,0,0,0,0,0,a55aa55a,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/rv32_sram_boundary_fault_matrix.csv,chiplet_extension/build/firmware_c/events/rv32_sram_boundary_fault_matrix.csv,chiplet_extension/build/firmware_c/logs/rv32_sram_boundary_fault_matrix.log
