test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log
workload_seed_00,firmware_workload,gcc_random_workload,PASS,3221291008,1451,325,325,4.465,,,,,,,0,104,7,0,0,1,0,1,1,0,0,0000a000,243,0,0,0,1051,apb_wait_cycles=2;backpressure_cycles=0;completion_mode=poll;descriptors=1;destination_bank=0;dma_length=2;error_profile=none;index=0;power_event=sleep;queue_pressure=1;seed=3221291008;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_00.csv,chiplet_extension/build/firmware_c/events/workload_seed_00.csv,chiplet_extension/build/firmware_c/logs/workload_seed_00.log
workload_seed_01,firmware_workload,gcc_random_workload,PASS,3221291009,1869,437,437,4.277,,,,,,,0,29,30,4,0,4,0,4,0,0,0,0000a000,429,0,129,153,129,apb_wait_cycles=7;backpressure_cycles=4;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=none;index=1;power_event=sleep;queue_pressure=4;seed=3221291009;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_01.csv,chiplet_extension/build/firmware_c/events/workload_seed_01.csv,chiplet_extension/build/firmware_c/logs/workload_seed_01.log
workload_seed_02,firmware_workload,gcc_random_workload,PASS,3221291010,939,205,205,4.580,,,,,,,0,30,19,0,0,3,0,3,0,0,0,0000a000,215,0,0,0,136,apb_wait_cycles=4;backpressure_cycles=0;completion_mode=poll;descriptors=3;destination_bank=0;dma_length=8;error_profile=none;index=2;power_event=sleep;queue_pressure=3;seed=3221291010;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_02.csv,chiplet_extension/build/firmware_c/events/workload_seed_02.csv,chiplet_extension/build/firmware_c/logs/workload_seed_02.log
workload_seed_03,firmware_workload,gcc_random_workload,PASS,3221291011,2025,483,483,4.193,,,,,,,0,120,16,2,0,2,0,2,1,0,0,0000a000,293,0,1051,148,1051,apb_wait_cycles=2;backpressure_cycles=8;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=timeout;index=3;power_event=sleep;queue_pressure=2;seed=3221291011;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_03.csv,chiplet_extension/build/firmware_c/events/workload_seed_03.csv,chiplet_extension/build/firmware_c/logs/workload_seed_03.log
workload_seed_04,firmware_workload,gcc_random_workload,PASS,3221291012,765,210,210,3.643,,,,,,,0,1,11,1,0,1,0,1,1,0,0,0000a000,100,0,28,153,28,apb_wait_cycles=7;backpressure_cycles=4;completion_mode=irq;descriptors=1;destination_bank=0;dma_length=2;error_profile=parity;index=4;power_event=sleep;queue_pressure=1;seed=3221291012;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_04.csv,chiplet_extension/build/firmware_c/events/workload_seed_04.csv,chiplet_extension/build/firmware_c/logs/workload_seed_04.log
workload_seed_05,firmware_workload,gcc_random_workload,PASS,3221291013,1240,387,387,3.204,,,,,,,0,4,30,4,0,4,0,4,4,0,0,0000a000,0,0,4,146,4,apb_wait_cycles=0;backpressure_cycles=4;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=invalid;index=5;power_event=deep_sleep;queue_pressure=4;seed=3221291013;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_05.csv,chiplet_extension/build/firmware_c/events/workload_seed_05.csv,chiplet_extension/build/firmware_c/logs/workload_seed_05.log
workload_seed_06,firmware_workload,gcc_random_workload,PASS,3221291014,916,205,205,4.468,,,,,,,0,30,19,0,0,3,0,3,0,0,0,0000a000,192,0,0,0,112,apb_wait_cycles=4;backpressure_cycles=0;completion_mode=poll;descriptors=3;destination_bank=0;dma_length=8;error_profile=none;index=6;power_event=run;queue_pressure=3;seed=3221291014;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_06.csv,chiplet_extension/build/firmware_c/events/workload_seed_06.csv,chiplet_extension/build/firmware_c/logs/workload_seed_06.log
workload_seed_07,firmware_workload,gcc_random_workload,PASS,3221291015,1230,287,287,4.286,,,,,,,0,22,16,2,0,2,0,2,0,0,0,0000a000,282,0,180,153,180,apb_wait_cycles=7;backpressure_cycles=0;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=none;index=7;power_event=sleep;queue_pressure=2;seed=3221291015;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_07.csv,chiplet_extension/build/firmware_c/events/workload_seed_07.csv,chiplet_extension/build/firmware_c/logs/workload_seed_07.log
workload_seed_08,firmware_workload,gcc_random_workload,PASS,3221291016,1432,289,289,4.955,,,,,,,0,86,7,0,0,1,0,1,1,0,0,0000a000,368,0,0,0,1027,apb_wait_cycles=4;backpressure_cycles=0;completion_mode=poll;descriptors=1;destination_bank=0;dma_length=2;error_profile=none;index=8;power_event=run;queue_pressure=1;seed=3221291016;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_08.csv,chiplet_extension/build/firmware_c/events/workload_seed_08.csv,chiplet_extension/build/firmware_c/logs/workload_seed_08.log
workload_seed_09,firmware_workload,gcc_random_workload,PASS,3221291017,2761,559,559,4.939,,,,,,,0,90,30,4,0,4,0,4,1,0,0,0000a000,833,0,1027,153,1027,apb_wait_cycles=7;backpressure_cycles=8;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=timeout;index=9;power_event=run;queue_pressure=4;seed=3221291017;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_09.csv,chiplet_extension/build/firmware_c/events/workload_seed_09.csv,chiplet_extension/build/firmware_c/logs/workload_seed_09.log
workload_seed_10,firmware_workload,gcc_random_workload,PASS,3221291018,1485,393,393,3.779,,,,,,,0,21,25,3,0,3,0,3,1,0,0,0000a000,203,0,28,150,28,apb_wait_cycles=4;backpressure_cycles=4;completion_mode=irq;descriptors=3;destination_bank=0;dma_length=8;error_profile=parity;index=10;power_event=sleep;queue_pressure=3;seed=3221291018;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_10.csv,chiplet_extension/build/firmware_c/events/workload_seed_10.csv,chiplet_extension/build/firmware_c/logs/workload_seed_10.log
workload_seed_11,firmware_workload,gcc_random_workload,PASS,3221291019,907,247,247,3.672,,,,,,,0,2,16,2,0,2,0,2,2,0,0,0000a000,119,0,4,153,4,apb_wait_cycles=7;backpressure_cycles=0;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=invalid;index=11;power_event=deep_sleep;queue_pressure=2;seed=3221291019;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_11.csv,chiplet_extension/build/firmware_c/events/workload_seed_11.csv,chiplet_extension/build/firmware_c/logs/workload_seed_11.log
workload_seed_12,firmware_workload,gcc_random_workload,PASS,3221291020,1451,305,305,4.757,,,,,,,0,94,7,0,0,1,0,1,1,0,0,0000a000,323,0,0,0,1051,apb_wait_cycles=3;backpressure_cycles=4;completion_mode=poll;descriptors=1;destination_bank=0;dma_length=2;error_profile=none;index=12;power_event=sleep;queue_pressure=1;seed=3221291020;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_12.csv,chiplet_extension/build/firmware_c/events/workload_seed_12.csv,chiplet_extension/build/firmware_c/logs/workload_seed_12.log
workload_seed_13,firmware_workload,gcc_random_workload,PASS,3221291021,1869,437,437,4.277,,,,,,,0,29,30,4,0,4,0,4,0,0,0,0000a000,429,0,129,153,129,apb_wait_cycles=7;backpressure_cycles=4;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=none;index=13;power_event=sleep;queue_pressure=4;seed=3221291021;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_13.csv,chiplet_extension/build/firmware_c/events/workload_seed_13.csv,chiplet_extension/build/firmware_c/logs/workload_seed_13.log
workload_seed_14,firmware_workload,gcc_random_workload,PASS,3221291022,867,235,235,3.689,,,,,,,0,45,19,0,0,3,0,3,0,0,0,0000a000,23,0,0,0,136,apb_wait_cycles=0;backpressure_cycles=0;completion_mode=poll;descriptors=3;destination_bank=0;dma_length=8;error_profile=none;index=14;power_event=sleep;queue_pressure=3;seed=3221291022;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_14.csv,chiplet_extension/build/firmware_c/events/workload_seed_14.csv,chiplet_extension/build/firmware_c/logs/workload_seed_14.log
workload_seed_15,firmware_workload,gcc_random_workload,PASS,3221291023,2032,443,443,4.587,,,,,,,0,100,16,2,0,2,0,2,1,0,0,0000a000,460,0,1027,150,1027,apb_wait_cycles=4;backpressure_cycles=8;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=timeout;index=15;power_event=run;queue_pressure=2;seed=3221291023;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_15.csv,chiplet_extension/build/firmware_c/events/workload_seed_15.csv,chiplet_extension/build/firmware_c/logs/workload_seed_15.log
workload_seed_16,firmware_workload,gcc_random_workload,PASS,3221291024,742,210,210,3.533,,,,,,,0,1,11,1,0,1,0,1,1,0,0,0000a000,77,0,4,153,4,apb_wait_cycles=7;backpressure_cycles=8;completion_mode=irq;descriptors=1;destination_bank=0;dma_length=2;error_profile=parity;index=16;power_event=run;queue_pressure=1;seed=3221291024;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_16.csv,chiplet_extension/build/firmware_c/events/workload_seed_16.csv,chiplet_extension/build/firmware_c/logs/workload_seed_16.log
workload_seed_17,firmware_workload,gcc_random_workload,PASS,3221291025,1306,387,387,3.375,,,,,,,0,4,30,4,0,4,0,4,4,0,0,0000a000,66,0,4,148,4,apb_wait_cycles=2;backpressure_cycles=8;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=invalid;index=17;power_event=deep_sleep;queue_pressure=4;seed=3221291025;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_17.csv,chiplet_extension/build/firmware_c/events/workload_seed_17.csv,chiplet_extension/build/firmware_c/logs/workload_seed_17.log
workload_seed_18,firmware_workload,gcc_random_workload,PASS,3221291026,985,195,195,5.051,,,,,,,0,25,19,0,0,3,0,3,0,0,0,0000a000,301,0,0,0,126,apb_wait_cycles=7;backpressure_cycles=4;completion_mode=poll;descriptors=3;destination_bank=0;dma_length=8;error_profile=none;index=18;power_event=run;queue_pressure=3;seed=3221291026;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_18.csv,chiplet_extension/build/firmware_c/events/workload_seed_18.csv,chiplet_extension/build/firmware_c/logs/workload_seed_18.log
workload_seed_19,firmware_workload,gcc_random_workload,PASS,3221291027,1181,305,305,3.872,,,,,,,0,31,16,2,0,2,0,2,0,0,0,0000a000,161,0,195,149,195,apb_wait_cycles=3;backpressure_cycles=4;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=none;index=19;power_event=sleep;queue_pressure=2;seed=3221291027;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_19.csv,chiplet_extension/build/firmware_c/events/workload_seed_19.csv,chiplet_extension/build/firmware_c/logs/workload_seed_19.log
workload_seed_20,firmware_workload,gcc_random_workload,PASS,3221291028,1432,289,289,4.955,,,,,,,0,86,7,0,0,1,0,1,1,0,0,0000a000,368,0,0,0,1027,apb_wait_cycles=4;backpressure_cycles=0;completion_mode=poll;descriptors=1;destination_bank=0;dma_length=2;error_profile=none;index=20;power_event=run;queue_pressure=1;seed=3221291028;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_20.csv,chiplet_extension/build/firmware_c/events/workload_seed_20.csv,chiplet_extension/build/firmware_c/logs/workload_seed_20.log
workload_seed_21,firmware_workload,gcc_random_workload,PASS,3221291029,2596,645,645,4.025,,,,,,,0,133,30,4,0,4,0,4,1,0,0,0000a000,324,0,1027,148,1027,apb_wait_cycles=2;backpressure_cycles=8;completion_mode=irq;descriptors=4;destination_bank=1;dma_length=4;error_profile=timeout;index=21;power_event=run;queue_pressure=4;seed=3221291029;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_21.csv,chiplet_extension/build/firmware_c/events/workload_seed_21.csv,chiplet_extension/build/firmware_c/logs/workload_seed_21.log
workload_seed_22,firmware_workload,gcc_random_workload,PASS,3221291030,1435,401,401,3.579,,,,,,,0,25,25,3,0,3,0,3,1,0,0,0000a000,121,0,28,148,28,apb_wait_cycles=2;backpressure_cycles=8;completion_mode=irq;descriptors=3;destination_bank=0;dma_length=8;error_profile=parity;index=22;power_event=sleep;queue_pressure=3;seed=3221291030;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_22.csv,chiplet_extension/build/firmware_c/events/workload_seed_22.csv,chiplet_extension/build/firmware_c/logs/workload_seed_22.log
workload_seed_23,firmware_workload,gcc_random_workload,PASS,3221291031,856,247,247,3.466,,,,,,,0,2,16,2,0,2,0,2,2,0,0,0000a000,68,0,4,150,4,apb_wait_cycles=4;backpressure_cycles=8;completion_mode=irq;descriptors=2;destination_bank=1;dma_length=16;error_profile=invalid;index=23;power_event=deep_sleep;queue_pressure=2;seed=3221291031;source_bank=1,chiplet_extension/build/firmware_c/traces/workload_seed_23.csv,chiplet_extension/build/firmware_c/events/workload_seed_23.csv,chiplet_extension/build/firmware_c/logs/workload_seed_23.log
workload_seed_24,firmware_workload,gcc_random_workload,PASS,3221291032,1417,347,347,4.084,,,,,,,0,115,7,0,0,1,0,1,1,0,0,0000a000,121,0,0,0,1027,apb_wait_cycles=1;backpressure_cycles=0;completion_mode=poll;descriptors=1;destination_bank=0;dma_length=2;error_profile=none;index=24;power_event=run;queue_pressure=1;seed=3221291032;source_bank=0,chiplet_extension/build/firmware_c/traces/workload_seed_24.csv,chiplet_extension/build/firmware_c/events/workload_seed_24.csv,chiplet_extension/build/firmware_c/logs/workload_seed_24.log
