sweep,label,test,status,detail,seed,knob_name,knob_value,tx_count,rx_count,retry_count,latency_min_cycles,latency_max_cycles,latency_avg_cycles,latency_p50_cycles,latency_p95_cycles,sample_cycles,throughput_flits_per_cycle,backpressure_duty_observed,downstream_acceptance_ratio,retry_rate,backpressure_hits,crc_error_hits,resend_hits,lane_fault_hits,compile_log,log_path,score_csv,cov_csv,notes
latency_vs_channel_delay,delay_0,prbs_latency_low,PASS,clean,20260329,channel_delay_cycles,0,71,70,0,41,41,41,41,41,2419,0.0289,0.0000,1.0000,0.0000,2060,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_latency_vs_channel_delay_delay_0.log,chiplet_extension/reports/char_latency_vs_channel_delay_delay_0_scoreboard.csv,chiplet_extension/reports/char_latency_vs_channel_delay_delay_0_coverage.csv,Baseline receive path without added channel-delay shim.
latency_vs_channel_delay,delay_10,prbs_latency_nominal,PASS,clean,20260330,channel_delay_cycles,10,71,69,0,51,51,51,51,51,2419,0.0285,0.0000,1.0000,0.0000,2060,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_latency_vs_channel_delay_delay_10.log,chiplet_extension/reports/char_latency_vs_channel_delay_delay_10_scoreboard.csv,chiplet_extension/reports/char_latency_vs_channel_delay_delay_10_coverage.csv,Nominal delay point used for the mid-latency bucket.
latency_vs_channel_delay,delay_20,prbs_latency_high,PASS,clean,20260331,channel_delay_cycles,20,71,69,0,61,61,61,61,61,2419,0.0285,0.0000,1.0000,0.0000,2060,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_latency_vs_channel_delay_delay_20.log,chiplet_extension/reports/char_latency_vs_channel_delay_delay_20_scoreboard.csv,chiplet_extension/reports/char_latency_vs_channel_delay_delay_20_coverage.csv,High-delay stress point that still meets the scoreboard latency window.
throughput_vs_backpressure,bp_duty_0,prbs_backpressure_wave,PASS,clean,20260332,backpressure_duty_pct,0,167,166,0,41,41,41,41,41,5683,0.1168,0.0000,1.0000,0.0000,4131,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_throughput_vs_backpressure_bp_duty_0.log,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_0_scoreboard.csv,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_0_coverage.csv,No receive-side backpressure baseline.
throughput_vs_backpressure,bp_duty_25,prbs_backpressure_wave,PASS,clean,20260333,backpressure_duty_pct,25,167,166,0,41,41,41,41,41,5683,0.1168,0.2500,0.7766,0.0000,4131,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_throughput_vs_backpressure_bp_duty_25.log,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_25_scoreboard.csv,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_25_coverage.csv,Receiver blocked for 25 percent of each 100-cycle window.
throughput_vs_backpressure,bp_duty_50,prbs_backpressure_wave,PASS,clean,20260334,backpressure_duty_pct,50,167,166,0,41,41,41,41,41,5683,0.1168,0.4999,0.5377,0.0000,4131,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_throughput_vs_backpressure_bp_duty_50.log,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_50_scoreboard.csv,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_50_coverage.csv,Receiver blocked for 50 percent of each 100-cycle window.
throughput_vs_backpressure,bp_duty_75,prbs_backpressure_wave,PASS,clean,20260335,backpressure_duty_pct,75,167,166,0,41,41,41,41,41,5683,0.1167,0.7498,0.2759,0.0000,4131,0,0,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_throughput_vs_backpressure_bp_duty_75.log,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_75_scoreboard.csv,chiplet_extension/reports/char_throughput_vs_backpressure_bp_duty_75_coverage.csv,Receiver blocked for 75 percent of each 100-cycle window.
retry_rate_vs_fault_density,crc_spacing_24,prbs_crc_burst_recover,PASS,clean,20260336,crc_spacing,24,80,80,2,41,41,41,41,41,6748,0.0119,0.5001,0.5835,0.0250,18,12,12,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_retry_rate_vs_fault_density_crc_spacing_24.log,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_24_scoreboard.csv,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_24_coverage.csv,Sparse CRC error windowing.
retry_rate_vs_fault_density,crc_spacing_16,prbs_crc_burst_recover,PASS,clean,20260337,crc_spacing,16,80,80,2,41,41,41,41,41,6748,0.0119,0.5001,0.5835,0.0250,18,12,12,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_retry_rate_vs_fault_density_crc_spacing_16.log,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_16_scoreboard.csv,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_16_coverage.csv,Medium CRC error density.
retry_rate_vs_fault_density,crc_spacing_8,prbs_crc_burst_recover,PASS,clean,20260338,crc_spacing,8,80,80,2,41,41,41,41,41,6748,0.0119,0.5001,0.5835,0.0250,18,12,12,0,chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_2b8aec1654.compile.log,chiplet_extension/build/characterization/char_retry_rate_vs_fault_density_crc_spacing_8.log,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_8_scoreboard.csv,chiplet_extension/reports/char_retry_rate_vs_fault_density_crc_spacing_8_coverage.csv,Dense CRC error burst spacing.
