test,power_mode,status,meets_expectation,illegal_activity_violations,resume_events,resume_violations,states_visited,transitions_visited,domain_combos_visited,isolation_bins_visited,retention_bins_visited,activity_cross_bins_visited,switch_domain_bins_visited,isolation_domain_bins_visited,sequence_bins_visited,sequence_violations,unsupported_transitions,visited_states,visited_transitions,visited_domain_combos,visited_isolation,visited_retention,visited_activity_cross,visited_switch_domains,visited_isolation_domains,visited_sequences,power_csv
__overall__,summary,,26,0,,0,4/4,6/6,4/4,4/4,4/4,5/5,12/12,12/12,4/4,0,3,run;crypto_only;sleep;deep_sleep,run_to_crypto_only;crypto_only_to_run;run_to_sleep;sleep_to_run;run_to_deep_sleep;deep_sleep_to_run,run;crypto_only;sleep;deep_sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic;dma_queued;dma_active;completion_pending,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,
power_run_mode,run,PASS,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,run,,run,deasserted,,,,,,chiplet_extension/reports/power_run_mode_power.csv
power_crypto_only,crypto_only,PASS,1,0,0,0,2,2,2,3,0,2,2,2,1,0,0,run;crypto_only,run_to_crypto_only;crypto_only_to_run,run;crypto_only,asserted;deasserted;blocked,,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off,pd_a_traffic_assert;pd_a_traffic_deassert,iso_before_switch_off,chiplet_extension/reports/power_crypto_only_power.csv
power_sleep_entry_exit,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_sleep_entry_exit_power.csv
power_deep_sleep_recover,deep_sleep,PASS,1,0,1,0,2,2,2,4,2,2,12,12,4,0,0,run;deep_sleep,run_to_deep_sleep;deep_sleep_to_run,run;deep_sleep,asserted;deasserted;blocked;release_traffic,dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_deep_sleep_recover_power.csv
power_isolation_blocks_tx,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_isolation_blocks_tx_power.csv
power_wakeup_releases_isolation_cleanly,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_wakeup_releases_isolation_cleanly_power.csv
power_transition_with_link_backpressure,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_transition_with_link_backpressure_power.csv
power_illegal_access_error_response,none,PASS,1,0,0,0,2,2,2,3,0,1,2,2,1,0,0,run;crypto_only,run_to_crypto_only;crypto_only_to_run,run;crypto_only,asserted;deasserted;blocked,,no_traffic,pd_a_traffic_on;pd_a_traffic_off,pd_a_traffic_assert;pd_a_traffic_deassert,iso_before_switch_off,chiplet_extension/reports/power_illegal_access_error_response_power.csv
power_traffic_cross_test,none,PASS,1,0,1,0,3,4,3,4,4,2,12,12,4,0,0,run;crypto_only;sleep,run_to_crypto_only;crypto_only_to_run;run_to_sleep;sleep_to_run,run;crypto_only;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,dma_active;completion_pending,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_traffic_cross_test_power.csv
power_iso_before_switch_off,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_iso_before_switch_off_power.csv
power_restore_before_deiso,sleep,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_restore_before_deiso_power.csv
power_domain_sequence_matrix,deep_sleep,PASS,1,0,1,0,4,6,4,4,4,2,12,12,4,0,0,run;crypto_only;sleep;deep_sleep,run_to_crypto_only;crypto_only_to_run;run_to_sleep;sleep_to_run;run_to_deep_sleep;deep_sleep_to_run,run;crypto_only;sleep;deep_sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_domain_sequence_matrix_power.csv
power_invalid_transition_clamped,run,PASS,1,0,1,0,4,2,4,4,4,2,12,12,4,0,2,run;crypto_only;sleep;deep_sleep,run_to_crypto_only;sleep_to_run,run;crypto_only;sleep;deep_sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;link_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/power_invalid_transition_clamped_power.csv
dma_power_sleep_resume_queue,sleep,PASS,1,0,1,0,2,2,2,4,4,1,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/dma_power_sleep_resume_queue_power.csv
dma_sleep_during_queued_work,none,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,no_traffic;dma_queued,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/dma_sleep_during_queued_work_power.csv
dma_sleep_during_active_transfer,none,PASS,1,0,1,0,2,2,2,4,4,2,12,12,4,0,0,run;sleep,run_to_sleep;sleep_to_run,run;sleep,asserted;deasserted;blocked;release_traffic,dma_sleep_save;dma_sleep_restore;dma_mem_save;dma_mem_restore,link_traffic;dma_active,pd_a_traffic_on;pd_a_traffic_off;pd_a_dma_on;pd_a_dma_off;pd_a_link_on;pd_a_link_off;pd_b_crypto_on;pd_b_crypto_off;pd_b_link_on;pd_b_link_off;pd_channel_on;pd_channel_off,pd_a_traffic_assert;pd_a_traffic_deassert;pd_a_dma_assert;pd_a_dma_deassert;pd_a_link_assert;pd_a_link_deassert;pd_b_crypto_assert;pd_b_crypto_deassert;pd_b_link_assert;pd_b_link_deassert;pd_channel_assert;pd_channel_deassert,iso_before_switch_off;switch_on_before_restore;restore_before_deiso;retention_pulse_width_ok,chiplet_extension/reports/dma_sleep_during_active_transfer_power.csv
