metric,value
sample_cycles,8335
link_reset,8335
link_train,20
link_active,7994
link_retrain,257
link_degraded,63
link_transitions,5
link_recoveries,1
credit_zero,8335
credit_low,0
credit_mid,3821
credit_high,4514
backpressure,0
crc_error,0
resend_request,2
lane_fault,2
retry_backpressure_cross,0
latency_low,95
latency_nominal,0
latency_high,0
e2e_updates,575
e2e_mismatch,0
expected_empty,0
power_reset_proxy,9
power_idle_proxy,6971
dma_submit_occ_0,0
dma_submit_occ_1,0
dma_submit_occ_23,0
dma_submit_occ_4,0
dma_comp_occ_0,0
dma_comp_occ_1,0
dma_comp_occ_23,0
dma_comp_occ_4,0
dma_submit_accept,0
dma_reject_odd,0
dma_reject_range,0
dma_reject_qfull,0
dma_reject_blocked,0
dma_reject_overflow,0
dma_submit_head_wrap,0
dma_submit_tail_wrap,0
dma_comp_head_wrap,0
dma_comp_tail_wrap,0
dma_active_present,0
dma_multi_queued,0
dma_comp_success,0
dma_comp_runtime_error,0
dma_comp_submit_reject,0
dma_retire_stall,0
dma_queue_drain_full_to_empty,0
dma_completion_under_retry,0
dma_completion_after_recovery,0
dma_completion_after_sleep_resume,0
mem_src_conflict,0
mem_dst_conflict,0
mem_wait,0
mem_parity_maint,0
mem_parity_dma,0
mem_invalid_read,0
mem_write_reject,0
mem_invalid_bank_present,0
mem_wake_apply,0
covered_bins,15
total_bins,60
