coverage_point,hit,hit_count,first_test,contributing_tests,evidence
csr_misa_read,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_misa_constant,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_misa_write_traps,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_misa_read_only,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_mtval_write,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_mtval_readback,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
csr_mtvec_direct_write,1,2,mret_state_restore,mret_state_restore;mtvec_direct_exception,RVFI transaction window + firmware self-check
csr_mtvec_vectored_write,1,2,mtvec_vectored_external,mtvec_vectored_external;mtvec_vectored_timer,RVFI transaction window + firmware self-check
mtvec_unsupported_mode_warl,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
mtvec_sync_exception_direct,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
mtvec_vectored_timer_entry,1,1,mtvec_vectored_timer,mtvec_vectored_timer,RVFI transaction window + firmware self-check
mtvec_vectored_external_entry,1,1,mtvec_vectored_external,mtvec_vectored_external,RVFI transaction window + firmware self-check
mtvec_base_alignment,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
mtvec_exception_not_vectored,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
mtval_illegal_instruction_bits,1,1,illegal_instruction_mtval,illegal_instruction_mtval,RVFI transaction window + firmware self-check
mtval_misaligned_load_address,1,1,misaligned_load_mtval,misaligned_load_mtval,RVFI transaction window + firmware self-check
mtval_store_access_fault_address,1,1,store_access_fault_mtval,store_access_fault_mtval,RVFI transaction window + firmware self-check
mtval_ecall_zero,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
mtval_timer_interrupt_zero,1,1,mtvec_vectored_timer,mtvec_vectored_timer,RVFI transaction window + firmware self-check
mtval_external_interrupt_zero,1,1,mtvec_vectored_external,mtvec_vectored_external,RVFI transaction window + firmware self-check
mtval_software_roundtrip,1,1,misa_mtval_csr_matrix,misa_mtval_csr_matrix,RVFI transaction window + firmware self-check
mtval_trace_snapshot,1,1,illegal_instruction_mtval,illegal_instruction_mtval,RVFI transaction window + firmware self-check
cause_illegal_instruction,1,1,illegal_instruction_mtval,illegal_instruction_mtval,RVFI transaction window + firmware self-check
cause_load_misaligned,1,1,misaligned_load_mtval,misaligned_load_mtval,RVFI transaction window + firmware self-check
cause_store_access_fault,1,1,store_access_fault_mtval,store_access_fault_mtval,RVFI transaction window + firmware self-check
cause_machine_ecall,1,1,mtvec_direct_exception,mtvec_direct_exception,RVFI transaction window + firmware self-check
cause_machine_timer_interrupt,1,1,mtvec_vectored_timer,mtvec_vectored_timer,RVFI transaction window + firmware self-check
cause_machine_external_interrupt,1,1,mtvec_vectored_external,mtvec_vectored_external,RVFI transaction window + firmware self-check
mret_after_exception,1,8,illegal_instruction_mtval,illegal_instruction_mtval;misa_mtval_csr_matrix;misaligned_load_mtval;mret_state_restore;mtvec_direct_exception;mtvec_vectored_external;mtvec_vectored_timer;store_access_fault_mtval,RVFI transaction window + firmware self-check
mret_restores_mie,1,1,mret_state_restore,mret_state_restore,RVFI transaction window + firmware self-check
trap_suppresses_register_write,1,7,illegal_instruction_mtval,illegal_instruction_mtval;misa_mtval_csr_matrix;misaligned_load_mtval;mret_state_restore;mtvec_direct_exception;mtvec_vectored_timer;store_access_fault_mtval,RVFI transaction window + firmware self-check
trap_suppresses_memory_commit,1,3,illegal_instruction_mtval,illegal_instruction_mtval;misaligned_load_mtval;store_access_fault_mtval,RVFI transaction window + firmware self-check
