family,index,manifest_seed,representative_test,dma_len,src_bank,dst_bank,queue_pressure,backpressure_cycles,crc_fault_at,lane_fault_type,power_transition_cycle,aes_blocks,parity_injection,timeout_profile,retry_window,status,expected_status,meets_expectation,failure_bucket,detail,log_path,summary_csv,runner_returncode,constraint_status,applied_plusargs
random_smoke_25,0,217151502,random_manifest_scenario,12,1,0,single,0,none,none,0,2,none,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_000_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_000_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,1,1041564174,random_manifest_scenario,2,0,0,single,0,none,none,0,4,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_001_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_001_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,2,783362976,random_manifest_scenario,8,1,1,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_002_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_002_regress_summary.csv,0,valid,DMA_LEN_WORDS=8;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=8;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,3,1278363210,random_manifest_scenario,12,0,1,single,0,none,none,0,1,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_003_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_003_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
random_smoke_25,4,1346013229,random_manifest_scenario,2,0,0,single,0,none,none,0,8,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_004_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_004_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=8;TARGET_TX_COUNT=256
random_smoke_25,5,1892215569,random_manifest_scenario,8,1,0,single,0,none,none,0,4,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_005_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_005_regress_summary.csv,0,valid,DMA_LEN_WORDS=8;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=8;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,6,297956913,random_manifest_scenario,16,0,1,single,0,none,none,0,8,none,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_006_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_006_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=8;TARGET_TX_COUNT=256
random_smoke_25,7,1003007342,random_manifest_scenario,16,0,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_007_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_007_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,8,1554408810,random_manifest_scenario,2,0,0,single,0,none,none,0,4,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_008_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_008_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,9,1634357960,random_manifest_scenario,16,0,1,single,0,none,none,0,1,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_009_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_009_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
random_smoke_25,10,877993291,random_manifest_scenario,2,0,1,single,0,none,none,0,4,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_010_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_010_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,11,2022635494,random_manifest_scenario,8,0,1,single,0,none,none,0,1,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_011_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_011_regress_summary.csv,0,valid,DMA_LEN_WORDS=8;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=8;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
random_smoke_25,12,213534808,random_manifest_scenario,8,1,0,single,0,none,none,0,4,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_012_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_012_regress_summary.csv,0,valid,DMA_LEN_WORDS=8;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=8;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,13,1090792013,random_manifest_scenario,2,1,0,single,0,none,none,0,2,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_013_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_013_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,14,1288605642,random_manifest_scenario,12,1,0,single,0,none,none,0,2,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_014_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_014_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,15,1271523477,random_manifest_scenario,4,0,1,single,0,none,none,0,8,src,nominal,0,PASS,PASS,1,none,random_manifest_dma_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_015_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_015_regress_summary.csv,0,valid,DMA_LEN_WORDS=4;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=4;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=src;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=8;TARGET_TX_COUNT=256
random_smoke_25,16,71174027,random_manifest_scenario,16,0,0,single,0,none,none,0,1,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_016_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_016_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=1;TARGET_TX_COUNT=32
random_smoke_25,17,1540561480,random_manifest_scenario,2,1,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_017_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_017_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=9;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=41;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,18,1374931013,random_manifest_scenario,16,1,1,full_queue,0,none,none,0,2,none,nominal,0,FAIL,PASS,0,uncategorized,process_rc_-6,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_018_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_018_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=full_queue;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,19,2143874005,random_manifest_scenario,12,1,1,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_019_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_019_regress_summary.csv,0,valid,DMA_LEN_WORDS=12;DMA_SRC_BASE=9;DMA_DST_BASE=129;DMA2_LEN_WORDS=12;DMA2_SRC_BASE=41;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,20,600592225,random_manifest_scenario,2,0,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_020_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_020_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,21,1106720682,random_manifest_scenario,2,0,0,single,0,none,none,0,2,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_021_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_021_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=2;TARGET_TX_COUNT=64
random_smoke_25,22,344076159,random_manifest_scenario,2,0,0,single,0,none,none,0,4,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_022_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_022_regress_summary.csv,0,valid,DMA_LEN_WORDS=2;DMA_SRC_BASE=8;DMA_DST_BASE=128;DMA2_LEN_WORDS=2;DMA2_SRC_BASE=40;DMA2_DST_BASE=160;QUEUE_PRESSURE=single;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,23,819995302,random_manifest_scenario,16,0,1,single,0,none,none,0,4,dst_maint,nominal,0,PASS,PASS,1,none,random_manifest_dst_parity_clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_023_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_023_regress_summary.csv,0,valid,DMA_LEN_WORDS=16;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=16;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=single;PARITY_INJECTION=dst_maint;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
random_smoke_25,24,1452521937,random_manifest_scenario,4,0,1,pair,0,none,none,0,4,none,nominal,0,FAIL,PASS,0,dma_completion,random_manifest_dma_violation,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_random_smoke_25_024_random_manifest_scenario.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_random_smoke_25_024_regress_summary.csv,0,valid,DMA_LEN_WORDS=4;DMA_SRC_BASE=8;DMA_DST_BASE=129;DMA2_LEN_WORDS=4;DMA2_SRC_BASE=40;DMA2_DST_BASE=161;QUEUE_PRESSURE=pair;PARITY_INJECTION=none;TIMEOUT_PROFILE=nominal;MAX_CYCLES=32000;TARGET_CIPHER_UPDATES=4;TARGET_TX_COUNT=128
stress_retry_50,0,1252224366,prbs_retry_backpressure,12,1,1,single,8,late,none,0,4,none,nominal,4,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_000_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_000_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=8;BACKPRESSURE_HOLD=1;ENABLE_CRC_WINDOW=1;CRC_START=200;CRC_COUNT=1;CRC_SPACING=4;ENABLE_LANE_FAULT=0
stress_retry_50,1,1418248492,prbs_retry_backpressure,16,1,1,single,16,mid,none,0,8,none,nominal,8,PASS,PASS,1,none,clean,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/random_stress_stress_retry_50_001_prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/random_stress_stress_retry_50_001_regress_summary.csv,0,valid,ENABLE_BACKPRESSURE=1;BACKPRESSURE_MOD=4;BACKPRESSURE_HOLD=2;ENABLE_CRC_WINDOW=1;CRC_START=140;CRC_COUNT=1;CRC_SPACING=8;ENABLE_LANE_FAULT=0
