run_id,bench,test,scenario,seed,bug_mode,status,expected_status,meets_expectation,detail,tx,rx,retries,mismatch,drop,latency_violations,e2e_mismatch,expected_empty,dma_desc_completed,dma_irq_count,dma_error_count,dma_mem_mismatch,cov_hits,cov_total,cov_pct,defines,returncode,elapsed_s,log_path,compile_log_path,score_csv,cov_csv,power_csv,ref_csv
prbs_smoke,tb_ucie_prbs,prbs_smoke,directed,160187309,none,PASS,PASS,1,clean,135,134,0,0,0,0,0,0,0,0,0,0,10,60,16.7,,0,0.010,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_smoke.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_smoke_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_smoke_coverage.csv,,
prbs_credit_starve,tb_ucie_prbs,prbs_credit_starve,directed,1418148552,none,PASS,PASS,1,clean,167,166,0,0,0,0,0,0,0,0,0,0,10,60,16.7,,0,0.012,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_credit_starve.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_credit_starve_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_credit_starve_coverage.csv,,
prbs_credit_low,tb_ucie_prbs,prbs_credit_low,directed,1331377086,none,PASS,PASS,1,clean,55,54,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.006,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_credit_low.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_credit_low_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_credit_low_coverage.csv,,
prbs_retry_single,tb_ucie_prbs,prbs_retry_single,directed,1807127149,none,PASS,PASS,1,clean,64,64,1,0,0,0,0,0,0,0,0,0,12,60,20.0,,0,0.012,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_retry_single.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_retry_single_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_retry_single_coverage.csv,,
prbs_retry_backpressure,tb_ucie_prbs,prbs_retry_backpressure,directed,1378318042,none,PASS,PASS,1,clean,80,80,2,0,0,0,0,0,0,0,0,0,14,60,23.3,,0,0.015,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_retry_backpressure.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_retry_backpressure_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_retry_backpressure_coverage.csv,,
prbs_crc_burst_recover,tb_ucie_prbs,prbs_crc_burst_recover,directed,785793937,none,PASS,PASS,1,clean,80,80,2,0,0,0,0,0,0,0,0,0,13,60,21.7,,0,0.014,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_crc_burst_recover.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_crc_burst_recover_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_crc_burst_recover_coverage.csv,,
prbs_lane_fault_recover,tb_ucie_prbs,prbs_lane_fault_recover,directed,1296513840,none,PASS,PASS,1,clean,96,96,1,0,0,0,0,0,0,0,0,0,15,60,25.0,,0,0.016,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_lane_fault_recover.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_lane_fault_recover_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_lane_fault_recover_coverage.csv,,
prbs_reset_midflight,tb_ucie_prbs,prbs_reset_midflight,directed,1313342637,none,PASS,PASS,1,clean,167,166,0,0,0,0,0,0,0,0,0,0,10,60,16.7,,0,0.012,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_reset_midflight.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_reset_midflight_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_reset_midflight_coverage.csv,,
prbs_backpressure_wave,tb_ucie_prbs,prbs_backpressure_wave,directed,1279730891,none,PASS,PASS,1,clean,167,166,0,0,0,0,0,0,0,0,0,0,10,60,16.7,,0,0.012,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_backpressure_wave.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_backpressure_wave_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_backpressure_wave_coverage.csv,,
prbs_latency_low,tb_ucie_prbs,prbs_latency_low,directed,108788577,none,PASS,PASS,1,clean,71,70,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.007,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_latency_low.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_low_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_low_coverage.csv,,
prbs_latency_nominal,tb_ucie_prbs,prbs_latency_nominal,directed,327565467,none,PASS,PASS,1,clean,71,69,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.007,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_latency_nominal.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_nominal_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_nominal_coverage.csv,,
prbs_latency_high,tb_ucie_prbs,prbs_latency_high,directed,502697121,none,PASS,PASS,1,clean,71,69,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.007,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_latency_high.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_high_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_latency_high_coverage.csv,,
prbs_rand_stress,tb_ucie_prbs,prbs_rand_stress,random,806709005,none,PASS,PASS,1,clean,237,237,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.019,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/prbs_rand_stress.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_ucie_prbs_f256ad43b2.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_rand_stress_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/prbs_rand_stress_coverage.csv,,
soc_smoke,tb_soc_chiplets,soc_smoke,directed,1818987937,none,PASS,PASS,1,clean,12,11,0,0,0,0,0,0,0,0,0,0,9,60,15.0,,0,0.006,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/soc_smoke.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_fbf07393bf.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_smoke_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_smoke_coverage.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_smoke_power.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/reference/soc_smoke_expected.csv
soc_wrong_key,tb_soc_chiplets,soc_wrong_key,negative,358478646,none,PASS,PASS,1,negative_check_caught,12,11,0,0,0,0,36,0,0,0,0,0,10,60,16.7,,0,0.006,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/soc_wrong_key.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/logs/tb_soc_chiplets_fbf07393bf.compile.log,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_wrong_key_scoreboard.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_wrong_key_coverage.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/reports/soc_wrong_key_power.csv,/home/esgha/ucie_chiplet_soc/chiplet_extension/build/verilator_regression/reference/soc_wrong_key_expected.csv
