timestamp_utc,total_runs,meets_expectation,nominal_pass,nominal_total,randomized_pass,randomized_total,bug_expected_failures,covered_bins,total_bins,coverage_pct
2026-06-30T02:47:14Z,70,70,65,65,1,1,5,60,60,100.0
2026-06-30T17:49:28Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-02T00:09:07Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-02T23:41:19Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-15T07:48:37Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-16T21:28:05Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-17T18:41:11Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-17T19:14:41Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-17T20:46:11Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-17T21:27:00Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-17T22:23:38Z,70,70,65,65,1,1,5,60,60,100.0
2026-07-18T00:18:35Z,70,70,65,65,1,1,5,60,60,100.0
